Time [s],Packet ID,MOSI,MISO
0.5102577400,0,0x53,
0.5102675600,0,0x5A,
0.5102786200,1,0x53,
0.5102884400,1,0xA5,
0.5142951200,2,0xE1,
0.5143049400,2,0x00,
0.5143160000,3,0xE2,
0.5143260000,3,0x00,
0.5143370800,4,0x27,
0.5143468800,4,0x70,
0.5143579600,5,0x3D,
0.5143677800,5,0x38,
0.5143788400,6,0x22,
0.5143888400,6,0x01,
0.5143997200,7,0x23,
0.5144095400,7,0x03,
0.5144204000,8,0x25,
0.5144302200,8,0x63,
0.5144411000,9,0x31,
0.5144509200,9,0x28,
0.5144628400,10,0x3F,
0.5144761200,10,0x0A,
0.5144896200,10,0x6D,
0.5145029000,10,0x67,
0.5145162000,10,0x9C,
0.5145296800,10,0x46,
0.5145424800,11,0x3A,
0.5145559600,11,0x45,
0.5145692600,11,0x21,
0.5145825400,11,0xEF,
0.5145958400,11,0x2C,
0.5146093200,11,0x5A,
0.5146228000,11,0x40,
0.5146356000,12,0x39,
0.5146488800,12,0x01,
0.5146615000,13,0x3E,
0.5146749800,13,0xF6,
0.5146884600,13,0x3F,
0.5147017600,13,0x5D,
0.5147143800,14,0x3B,
0.5147276800,14,0x0B,
0.5147409800,14,0xDF,
0.5147542800,14,0x02,
0.5147662200,15,0x3C,
0.5147762200,15,0x00,
0.5147872800,16,0x26,
0.5147973000,16,0x44,
0.5148083600,17,0x24,
0.5148183600,17,0x00,
0.5148294200,18,0x21,
0.5148392400,18,0x00,
0.5148516600,19,0x2A,
0.5148651600,19,0x96,
0.5148786400,19,0xA5,
0.5148919400,19,0x6D,
0.5149052200,19,0x4A,
0.5149187200,19,0x58,
0.5149320200,20,0x30,
0.5149455000,20,0x96,
0.5149589800,20,0xA5,
0.5149722800,20,0x6D,
0.5149855600,20,0x4A,
0.5149990400,20,0x58,
0.5150107200,21,0x0A,
0.5150203600,21,0x96,
0.5150329000,22,0x20,
0.5150429000,22,0x8F,
0.5150537600,23,0xFD,
0.5150635800,23,0x00,
0.5150757600,24,0x07,
0.5150851400,24,0x0E,
0.5151001800,25,0x07,
0.5151095600,25,0x0E,
0.5151245800,26,0x07,
0.5151339600,26,0x0E,
0.5151489800,27,0x07,
0.5151583600,27,0x0E,
0.5151734000,28,0x07,
0.5151827800,28,0x0E,
0.5151978200,29,0x07,
0.5152072000,29,0x0E,
0.5152222400,30,0x07,
0.5152316400,30,0x0E,
0.5152466600,31,0x07,
0.5152560600,31,0x0E,
0.5152710800,32,0x07,
0.5152804800,32,0x0E,
0.5152955000,33,0x07,
0.5153048800,33,0x0E,
0.5153199200,34,0x07,
0.5153293000,34,0x0E,
0.5153443200,35,0x07,
0.5153537000,35,0x0E,
0.5153687400,36,0x07,
0.5153781200,36,0x0E,
0.5153931600,37,0x07,
0.5154025200,37,0x0E,
0.5154175600,38,0x07,
0.5154269400,38,0x0E,
0.5154419800,39,0x07,
0.5154513600,39,0x0E,
0.5154664000,40,0x07,
0.5154757800,40,0x0E,
0.5154908200,41,0x07,
0.5155002000,41,0x0E,
0.5155152400,42,0x07,
0.5155246200,42,0x0E,
0.5155396400,43,0x07,
0.5155490200,43,0x0E,
0.5155640600,44,0x07,
0.5155734400,44,0x0E,
0.5155884600,45,0x07,
0.5155978400,45,0x0E,
0.5156128800,46,0x07,
0.5156222600,46,0x0E,
0.5156373000,47,0x07,
0.5156466800,47,0x0E,
0.5156617200,48,0x07,
0.5156711000,48,0x0E,
0.5156861400,49,0x07,
0.5156955200,49,0x0E,
0.5157105600,50,0x07,
0.5157199400,50,0x0E,
0.5157349800,51,0x07,
0.5157443600,51,0x0E,
0.5157594000,52,0x07,
0.5157687800,52,0x0E,
0.5157838000,53,0x07,
0.5157931800,53,0x0E,
0.5158082200,54,0x07,
0.5158176000,54,0x0E,
0.5158326400,55,0x07,
0.5158420200,55,0x0E,
0.5158570600,56,0x07,
0.5158664400,56,0x0E,
0.5158814600,57,0x07,
0.5158908400,57,0x0E,
0.5159058800,58,0x07,
0.5159152600,58,0x0E,
0.5159303000,59,0x07,
