Time[s], Channel 4
0.00000000, 0
0.62548032, 1
0.62548060, 0
0.62550714, 1
0.62550728, 0
0.62550832, 1
0.62550836, 0
0.62550838, 1
0.62550878, 0
0.62550980, 1
0.62551010, 0
0.62551126, 1
0.62551130, 0
0.62551132, 1
0.62551138, 0
0.62551152, 1
0.62551154, 0
0.62553524, 1
0.62553554, 0
0.62553638, 1
0.62553694, 0
0.62553780, 1
0.62553834, 0
0.64359970, 1
0.66358260, 0
0.66360242, 1
0.66360348, 0
0.66362312, 1
0.66762126, 0
0.66764108, 1
0.66764214, 0
0.66766214, 1
0.66766320, 0
0.66768304, 1
0.66768410, 0
0.66770392, 1
0.66770498, 0
0.66772482, 1
0.66772588, 0
0.66774552, 1
0.66774656, 0
0.66776622, 1
0.66776726, 0
0.66778710, 1
0.66778884, 0
0.66786678, 1
0.66786852, 0
0.66795994, 1
0.66796170, 0
0.66798586, 1
0.66798760, 0
0.66803874, 1
0.66804048, 0
0.66809146, 1
0.66809252, 0
0.66811254, 1
0.66811358, 0
0.66813360, 1
0.66813466, 0
0.66815468, 1
0.66815574, 0
0.66817556, 1
0.66817780, 0
0.66825596, 1
0.66825820, 0
0.66833634, 1
0.66833714, 0
0.66835746, 1
0.66835934, 0
0.66837916, 1
0.66838022, 0
0.66840006, 1
0.66840224, 0
0.66842232, 1
0.66842668, 0
0.66844676, 1
0.66845112, 0
0.66847118, 1
0.66847554, 0
0.66849562, 1
0.66849996, 0
0.66852004, 1
0.66852438, 0
0.66854446, 1
0.66854880, 0
0.66856888, 1
0.66857322, 0
0.66859330, 1
0.66859764, 0
0.66861772, 1
0.66862208, 0
0.66864216, 1
0.66864650, 0
0.66866658, 1
0.66867094, 0
0.66869100, 1
0.66869536, 0
0.66871542, 1
0.66871978, 0
0.66873986, 1
0.66874420, 0
0.66876428, 1
0.66876864, 0
0.66878872, 1
0.66879306, 0
0.66881314, 1
0.66881750, 0
0.66883758, 1
0.66884192, 0
0.66886202, 1
0.66886636, 0
0.66888644, 1
0.66889078, 0
0.66891086, 1
0.66891520, 0
0.66893528, 1
0.66893964, 0
0.66895970, 1
0.66896406, 0
0.66898414, 1
0.66898848, 0
0.66900856, 1
0.66901292, 0
0.66903298, 1
0.66903734, 0
0.66905742, 1
0.66906176, 0
0.66908184, 1
0.66908620, 0
0.66910626, 1
0.66911062, 0
0.66913070, 1
0.66913504, 0
0.66915512, 1
0.66915946, 0
0.66917954, 1
0.66918390, 0
0.66920396, 1
0.66920832, 0
0.66922840, 1
0.66923276, 0
0.66925284, 1
0.66925720, 0
0.66927726, 1
0.66928162, 0
0.66930170, 1
0.66930604, 0
0.66932612, 1
0.66933048, 0
0.66935056, 1
0.66935492, 0
0.66937500, 1
0.66937936, 0
0.66939944, 1
0.66940378, 0
0.66942386, 1
0.66942822, 0
0.66944830, 1
0.66945264, 0
0.66947272, 1
0.66947708, 0
0.66949716, 1
0.66950150, 0
0.66952158, 1
0.66952594, 0
0.66954602, 1
0.66955036, 0
0.66957046, 1
0.66957480, 0
0.66959488, 1
0.66959924, 0
0.66961932, 1
0.66962366, 0
0.66964374, 1
0.66964810, 0
0.66966818, 1
0.66967254, 0
0.66969262, 1
0.66969696, 0
0.66971706, 1
0.66972140, 0
0.66974148, 1
0.66974584, 0
0.66976592, 1
0.66977026, 0
0.66979034, 1
0.66979470, 0
0.66981476, 1
0.66981912, 0
0.66983920, 1
0.66984354, 0
0.66986362, 1
0.66986798, 0
0.66988806, 1
0.66989240, 0
0.66991248, 1
0.66991684, 0
0.66993692, 1
0.66994126, 0
0.66996134, 1
0.66996568, 0
0.66998576, 1
0.66999012, 0
0.67001020, 1
0.67001456, 0
0.67003464, 1
0.67003900, 0
0.67005906, 1
0.67006342, 0
0.67008350, 1
0.67008786, 0
0.67010794, 1
0.67011230, 0
0.67013238, 1
0.67013674, 0
0.67015682, 1
0.67016118, 0
0.67018126, 1
0.67018560, 0
0.67020568, 1
0.67021004, 0
0.67023012, 1
0.67023446, 0
0.67025456, 1
0.67025890, 0
0.67027898, 1
0.67028334, 0
0.67030342, 1
0.67030778, 0
0.67032786, 1
0.67033222, 0
0.67035232, 1
0.67035666, 0
0.67037676, 1
0.67038110, 0
0.67040118, 1
0.67040552, 0
0.67042560, 1
0.67042996, 0
0.67045002, 1
0.67045438, 0
0.67047446, 1
0.67047880, 0
0.67049888, 1
0.67050324, 0
0.67052332, 1
0.67052768, 0
0.67054774, 1
0.67055210, 0
0.67057218, 1
0.67057652, 0
0.67059660, 1
0.67060096, 0
0.67062104, 1
0.67062538, 0
0.67064546, 1
0.67064980, 0
0.67066988, 1
0.67067424, 0
0.67069430, 1
0.67069866, 0
0.67071874, 1
0.67072308, 0
0.67074316, 1
0.67074750, 0
0.67076758, 1
0.67077192, 0
0.67079200, 1
0.67079636, 0
0.67081642, 1
0.67082078, 0
0.67084084, 1
0.67084520, 0
0.67086528, 1
0.67086964, 0
0.67088970, 1
0.67089406, 0
0.67091412, 1
0.67091848, 0
0.67093856, 1
0.67094290, 0
0.67096298, 1
0.67096734, 0
0.67098740, 1
0.67099176, 0
0.67101182, 1
0.67101618, 0
0.67103624, 1
0.67104060, 0
0.67106068, 1
0.67106502, 0
0.67108510, 1
0.67108946, 0
0.67110952, 1
0.67111388, 0
0.67113396, 1
0.67113830, 0
0.67115838, 1
0.67116272, 0
0.67118280, 1
0.67118714, 0
