Time [s],Packet ID,MOSI,MISO
0.4166146800,85,0x0E,
0.4166297200,86,0x07,
0.4166391000,86,0x0E,
0.4166541200,87,0x07,
0.4166635000,87,0x0E,
0.4166785400,88,0x07,
0.4166879200,88,0x0E,
0.4167029600,89,0x07,
0.4167123400,89,0x0E,
0.4167273800,90,0x07,
0.4167367600,90,0x0E,
0.4167518000,91,0x07,
0.4167611800,91,0x0E,
0.4167762200,92,0x07,
0.4167856000,92,0x0E,
0.4168006400,93,0x07,
0.4168100200,93,0x0E,
0.4168250600,94,0x07,
0.4168344400,94,0x0E,
0.4168494800,95,0x07,
0.4168588600,95,0x0E,
0.4168739000,96,0x07,
0.4168832800,96,0x0E,
0.4168983200,97,0x07,
0.4169077200,97,0x0E,
0.4169227600,98,0x07,
0.4169321400,98,0x0E,
0.4169471600,99,0x07,
0.4169565400,99,0x0E,
0.4169715800,100,0x07,
0.4169809600,100,0x0E,
0.4169960000,101,0x07,
0.4170053800,101,0x0E,
0.4170204200,102,0x07,
0.4170298000,102,0x0E,
0.4170448400,103,0x07,
0.4170542200,103,0x0E,
0.4170692600,104,0x07,
0.4170786400,104,0x0E,
0.4170936800,105,0x07,
0.4171030600,105,0x0E,
0.4171181000,106,0x07,
0.4171274800,106,0x0E,
0.4171425200,107,0x07,
0.4171519000,107,0x0E,
0.4171669200,108,0x07,
0.4171763200,108,0x0E,
0.4171913400,109,0x07,
0.4172007200,109,0x0E,
0.4172157600,110,0x07,
0.4172251600,110,0x0E,
0.4172402000,111,0x07,
0.4172495800,111,0x0E,
0.4172646200,112,0x07,
0.4172740000,112,0x0E,
0.4172890400,113,0x07,
0.4172984200,113,0x0E,
0.4173134600,114,0x07,
0.4173228600,114,0x0E,
0.4173379000,115,0x07,
0.4173472800,115,0x0E,
0.4173623200,116,0x07,
0.4173717000,116,0x0E,
0.4173867200,117,0x07,
0.4173961000,117,0x0E,
0.4174111400,118,0x07,
0.4174205400,118,0x0E,
0.4174355800,119,0x07,
0.4174449600,119,0x0E,
0.4174599800,120,0x07,
0.4174693800,120,0x0E,
0.4174844000,121,0x07,
0.4174937800,121,0x0E,
0.4175088200,122,0x07,
0.4175182000,122,0x0E,
0.4175332400,123,0x07,
0.4175426200,123,0x0E,
0.4175576600,124,0x07,
0.4175670400,124,0x0E,
0.4175820600,125,0x07,
0.4175914400,125,0x0E,
0.4176064600,126,0x07,
0.4176158400,126,0x0E,
0.4176314400,127,0x07,
0.4176408000,127,0x0E,
0.4176558400,128,0x07,
0.4176652200,128,0x0E,
0.4176802600,129,0x07,
0.4176896400,129,0x0E,
0.4177046800,130,0x07,
0.4177140600,130,0x0E,
0.4177290800,131,0x07,
0.4177384600,131,0x0E,
0.4177534800,132,0x07,
0.4177628400,132,0x0E,
0.4177778800,133,0x07,
0.4177872600,133,0x0E,
0.4178023000,134,0x07,
0.4178116800,134,0x0E,
0.4178267200,135,0x07,
0.4178361000,135,0x0E,
0.4178511400,136,0x07,
0.4178605200,136,0x0E,
0.4178755400,137,0x07,
0.4178849200,137,0x0E,
0.4178999600,138,0x07,
0.4179093400,138,0x0E,
0.4179243800,139,0x07,
0.4179337600,139,0x0E,
0.4179488000,140,0x07,
0.4179581800,140,0x0E,
0.4179732200,141,0x07,
0.4179826000,141,0x0E,
0.4179976200,142,0x07,
0.4180070000,142,0x0E,
0.4180220400,143,0x07,
0.4180314200,143,0x0E,
0.4180464600,144,0x07,
0.4180558400,144,0x0E,
0.4180708800,145,0x07,
0.4180802800,145,0x0E,
0.4180953000,146,0x07,
0.4181046800,146,0x0E,
0.4181197200,147,0x07,
0.4181291000,147,0x0E,
0.4181441400,148,0x07,
0.4181535200,148,0x0E,
0.4181685400,149,0x07,
0.4181779200,149,0x0E,
0.4181929600,150,0x07,
0.4182023400,150,0x0E,
0.4182173600,151,0x07,
0.4182267400,151,0x0E,
0.4182417800,152,0x07,
0.4182511600,152,0x0E,
0.4182662000,153,0x07,
0.4182755800,153,0x0E,
0.4182906000,154,0x07,
0.4182999800,154,0x0E,
0.4183150200,155,0x07,
0.4183244000,155,0x0E,
0.4183394400,156,0x07,
0.4183488200,156,0x0E,
0.4183638400,157,0x07,
0.4183732200,157,0x0E,
0.4183882600,158,0x07,
0.4183976400,158,0x0E,
0.4184126800,159,0x07,
0.4184220400,159,0x0E,
0.4184370800,160,0x07,
0.4184464600,160,0x0E,
0.4184615000,161,0x07,
0.4184708600,161,0x0E,
0.4184859000,162,0x07,
0.4184952800,162,0x0E,
0.4185103200,163,0x07,
0.4185197000,163,0x0E,
0.4185347400,164,0x07,
0.4185441200,164,0x0E,
0.4185591600,165,0x07,
0.4185685400,165,0x0E,
0.4185835800,166,0x07,
0.4185929600,166,0x0E,
0.4186080000,167,0x07,
0.4186174000,167,0x0E,
0.4186324400,168,0x07,
0.4186418200,168,0x0E,
0.4186568600,169,0x07,
0.4186662400,169,0x0E,
0.4186812800,170,0x07,
0.4186906600,170,0x0E,
0.4187057000,171,0x07,
0.4187150600,171,0x0E,
0.4187301000,172,0x07,
0.4187394800,172,0x0E,
0.4187545200,173,0x07,
0.4187639000,173,0x0E,
0.4187789400,174,0x07,
0.4187883200,174,0x0E,
0.4188033400,175,0x07,
0.4188127400,175,0x0E,
0.4188277600,176,0x07,
0.4188371400,176,0x0E,
0.4188521800,177,0x07,
0.4188615600,177,0x0E,
0.4188766000,178,0x07,
0.4188859800,178,0x0E,
0.4189010200,179,0x07,
0.4189104000,179,0x0E,
0.4189254400,180,0x07,
0.4189348400,180,0x0E,
0.4189498800,181,0x07,
0.4189592600,181,0x0E,
0.4189743000,182,0x07,
0.4189836800,182,0x0E,
0.4189987200,183,0x07,
